,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
TGME49_204480,2978,3489,1987,2848,2978,3254,2369,2558
TGME49_204490,636,751,418,582,636,815,495,544
TGME49_204500,261,264,162,253,261,226,166,187
TGME49_204505,1,1,1,0,1,1,0,2
TGME49_204510,2575,2951,1588,2097,2575,2694,1811,1942
TGME49_204520,352,483,261,390,352,474,317,324
TGME49_204530,26837,41909,25688,29730,26837,42758,27756,25043
TGME49_204540,227,230,142,173,227,233,164,140
TGME49_204550,1028,1180,677,914,1028,1201,779,837
TGME49_204560,5,7,4,6,5,5,7,1
TGME49_204870,4,8,2,2,4,3,2,4
TGME49_204880,624,927,562,934,624,841,595,810
TGME49_205000,1034,1296,752,918,1034,1130,794,825
TGME49_205010,3188,3895,2085,3029,3188,3552,2594,2552
TGME49_205020,122,141,84,113,122,126,92,110
TGME49_205030,967,1125,655,791,967,1125,775,707
TGME49_205040,3390,3720,2006,2832,3390,3449,2486,2555
TGME49_205050,177,394,152,257,177,347,165,199
TGME49_205060,734,1016,555,724,734,1008,669,581
TGME49_205070,6,1,5,1,6,2,1,2
TGME49_205080,3,10,2,4,3,1,1,3
TGME49_205090,6,17,13,13,6,18,15,14
TGME49_205100,418,453,300,380,418,360,312,336
TGME49_205110,151,144,81,104,151,141,88,110
TGME49_205120,281,352,167,336,281,339,258,257
TGME49_205130,4148,4408,2830,4319,4148,4352,3430,3564
TGME49_205140,4,13,4,5,4,10,6,5
TGME49_205150,830,930,508,742,830,932,575,618
TGME49_205160,513,564,291,437,513,533,345,378
TGME49_205170,907,1108,808,834,907,1129,883,650
TGME49_205180,2415,2929,1676,2225,2415,2718,1989,1805
TGME49_205190,1276,1703,856,1341,1276,1623,1077,1198
TGME49_205200,2513,2881,1744,2507,2513,2684,2257,2279
TGME49_205210,130,168,97,114,130,165,118,121
TGME49_205220,1455,1734,1053,1415,1455,1789,1184,1206
TGME49_205230,8,5,7,5,8,6,8,6
TGME49_205240,2073,2303,1313,1662,2073,1920,1564,1493
TGME49_205250,1500,1711,1280,1926,1500,1549,1598,1675
TGME49_205265,79,85,52,71,79,81,72,69
TGME49_205280,4448,5075,2914,4615,4448,5173,3500,4128
TGME49_205290,2417,3307,1830,2689,2417,3169,2254,2134
