Geneid,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4
ZNF248,12,1,24,8,47,21,96,37
ZNF248-AS1,0,0,1,0,2,0,5,2
ZNF24TR,0,1,0,0,1,0,0,0
ZNF25,23,18,51,11,61,47,74,73
ZNF250,234,327,205,139,101,137,82,70
ZNF251,0,0,0,0,0,0,0,0
ZNF251_1,0,0,0,0,0,0,0,0
ZNF252P,163,260,109,169,99,86,99,93
ZNF252P-AS1,10,20,9,10,6,3,13,6
ZNF253,3,14,13,2,21,17,38,7
ZNF254,28,56,20,35,75,69,71,30
ZNF256,5,6,13,1,13,12,29,27
ZNF257,1,14,1,8,3,3,5,7
ZNF25-DT,0,0,0,0,0,0,0,0
ZNF26,34,31,43,20,99,60,135,92
ZNF260,9,6,19,6,45,11,89,33
ZNF263,87,172,139,112,211,272,291,217
ZNF264,94,154,147,121,399,457,474,453
ZNF266,445,295,304,403,1224,715,868,1535
ZNF267,1214,810,2039,722,4946,2489,3600,2461
ZNF268,17,45,31,53,52,67,91,50
ZNF271P,39,80,65,46,167,198,146,182
ZNF273,15,21,14,10,51,29,36,37
ZNF274,350,543,511,407,1049,1202,1085,1101
ZNF275,14,25,41,13,75,73,158,99
ZNF276,2407,2486,1505,1121,2965,2775,2184,1819
ZNF277,117,107,122,75,470,381,342,381
ZNF277-AS1,0,0,1,0,2,1,0,3
ZNF28,85,115,73,61,134,79,112,84
ZNF280A,0,0,0,0,0,0,0,0
ZNF280A_1,0,0,0,0,0,0,0,0
ZNF280B,0,0,0,0,0,0,0,0
ZNF280B_1,0,0,0,0,0,0,0,0
ZNF280C,14,8,12,7,14,6,13,9
ZNF280D,17,6,17,4,123,46,97,68
ZNF281,166,124,122,96,918,384,616,647
ZNF282,194,285,145,142,302,306,314,293
ZNF283,7,9,6,2,41,17,43,25
ZNF284,7,7,8,10,29,7,45,24
ZNF285,0,0,2,0,5,1,6,4
ZNF285CP,0,0,0,0,0,0,0,0
ZNF286A,3,2,6,0,4,5,9,3
ZNF286A-TBC1D26,0,0,0,0,0,0,0,0
ZNF286B,0,1,3,0,1,0,5,0
ZNF287,6,3,7,1,15,5,41,8
ZNF292,1107,641,1254,729,2884,1059,1968,1693
ZNF295-AS1,0,0,0,0,0,0,0,0
ZNF296,20,31,13,18,31,38,30,42
ZNF3,79,96,177,72,284,256,388,242
ZNF30,2,1,11,0,11,3,25,4
ZNF300,4,3,14,3,14,5,32,4
ZNF300P1,0,0,1,0,1,0,11,1
ZNF302,22,14,43,15,87,32,136,80
ZNF304,5,36,42,53,44,45,83,93
ZNF30-AS1,0,0,0,0,0,0,0,0
ZNF311,0,0,0,0,0,0,0,0
ZNF311_1,0,0,0,0,0,0,0,0
ZNF311_2,0,0,0,0,0,0,0,0
ZNF311_3,0,0,0,0,0,0,0,0
ZNF311_4,0,0,0,0,0,0,0,0
ZNF311_5,0,0,0,0,0,0,0,0
ZNF311_6,0,0,0,0,0,0,0,0
ZNF316,469,849,1352,655,2890,4472,3741,3962
ZNF317,179,213,273,158,518,491,653,596
ZNF318,326,399,339,224,471,329,416,277
ZNF319,416,742,388,213,659,1039,694,470
ZNF32,10,2,18,6,29,12,50,15
ZNF320,24,49,41,22,72,50,79,54
ZNF321P,0,1,0,0,0,1,1,0
ZNF322,0,4,0,2,0,4,0,8
ZNF322_1,3,4,5,1,23,11,20,8
ZNF324,97,159,113,64,146,137,155,149
ZNF324B,5,5,6,6,13,5,29,10
ZNF326,105,82,90,46,274,148,242,160
ZNF329,18,33,29,34,58,64,86,79
ZNF32-AS1,0,0,0,0,0,0,2,2
ZNF32-AS2,0,0,3,0,0,5,8,4
ZNF32-AS3,0,0,0,0,0,0,0,0
ZNF330,45,87,72,32,114,160,177,122
ZNF331,145,848,654,344,52,32,93,35
ZNF333,324,389,386,200,1069,1072,1217,676
ZNF334,0,1,1,0,1,0,4,0
ZNF335,285,341,431,201,854,838,915,669
ZNF337,42,33,119,34,119,44,234,58
ZNF337-AS1,0,2,1,1,3,0,3,1
ZNF33A,650,538,782,383,2468,1746,2094,2054
ZNF33B,25,15,43,8,145,61,174,61
ZNF33BP1,0,0,0,0,0,0,0,0
ZNF34,104,223,73,83,24,29,26,19
ZNF341,56,66,38,45,143,171,169,162
ZNF341-AS1,3,3,2,2,6,5,6,6
ZNF343,8,6,16,3,39,30,73,38
ZNF345,10,14,12,8,44,15,46,38
ZNF346,85,121,88,50,79,87,129,82
ZNF347,18,54,33,21,48,31,49,36
ZNF35,0,0,0,0,0,0,0,0
ZNF35_1,0,0,0,0,0,0,0,0
ZNF350,158,214,185,153,659,604,587,721
ZNF350-AS1,0,1,2,0,3,4,3,3
ZNF354A,36,23,32,17,133,84,132,170
ZNF354B,2,3,10,3,33,6,40,20
ZNF354C,24,31,55,11,86,86,146,95
ZNF358,5,5,17,13,26,12,39,9
ZNF362,61,87,50,34,221,308,283,250
ZNF365,0,0,0,0,3,0,8,0
ZNF366,3,8,4,0,3,5,4,1
ZNF367,735,654,548,391,8,4,5,3
ZNF37A,34,36,128,41,73,30,126,46
ZNF37BP,54,35,101,21,227,83,334,112
ZNF382,6,7,14,0,7,6,17,11
ZNF383,17,6,24,10,72,50,85,57
ZNF384,606,762,588,347,1650,1873,1876,1492
