Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,LPS_1,LPS_2,LPS_3,LPS_4
RAB9A,267,245,172,172,465,569,630,354
RAB9B,0,0,1,0,1,0,2,1
RAB9BP1,0,0,0,0,0,0,0,0
RABAC1,183,239,149,114,375,574,574,330
RABEP1,789,724,521,459,993,1017,1782,979
RABEP2,54,27,64,43,96,53,256,84
RABEPK,43,39,33,14,36,37,106,27
RABGAP1,563,378,343,308,939,867,1465,974
RABGAP1L,254,248,160,100,552,760,1487,578
RABGAP1L-AS1,1,0,0,0,0,0,1,0
RABGAP1L-DT,0,0,0,0,0,0,1,0
RABGEF1,2195,1784,1346,1404,2866,1913,2083,1248
RABGEF1P1,220,254,134,130,133,184,189,115
RABGGTA,0,0,0,0,0,0,15,0
RABGGTA_1,0,0,0,0,0,0,0,0
RABGGTB,106,75,59,28,216,121,358,128
RABIF,314,391,216,173,123,224,348,160
RABL2A,20,11,15,7,24,35,109,30
RABL2B,18,19,21,9,42,31,119,28
RABL3,84,46,46,37,182,123,252,107
RABL6,437,630,350,281,166,161,557,130
RAC1,1622,1963,1117,891,5805,8976,11783,6367
RAC2,8692,10243,5554,4276,26372,41858,38399,23665
RAC3,2,1,3,0,2,6,6,2
RACGAP1,19,9,14,7,53,31,114,41
RACGAP1P1,2,0,1,0,0,2,1,0
RACK1,771,515,861,304,1696,1431,4696,1035
RAD1,107,83,77,56,76,40,187,54
RAD17,0,0,0,0,1,0,1,0
RAD17_1,0,1,0,0,1,0,1,0
RAD17_2,0,0,0,0,0,2,6,0
RAD18,339,169,167,170,161,58,172,68
RAD21,4548,3006,2318,1934,8534,6200,10018,7343
RAD21-AS1,1,1,0,1,2,1,0,0
RAD21L1,0,0,0,0,0,0,0,0
RAD23A,144,218,117,107,132,215,316,103
RAD23B,760,1025,512,528,910,1624,1792,1241
RAD50,32,16,37,17,79,47,258,48
RAD51,19,20,18,15,4,3,4,2
RAD51AP1,1,0,1,2,3,2,5,4
RAD51AP2,0,0,0,0,0,0,0,0
RAD51-AS1,18,7,16,7,30,25,80,27
RAD51B,3,10,0,4,16,28,37,31
RAD51C,20,26,21,21,12,4,34,5
RAD51D,153,148,66,71,273,293,393,214
RAD51L3-RFFL,0,0,0,0,0,0,0,0
RAD52,21,11,15,8,57,37,146,58
RAD54B,5,1,1,0,3,2,12,1
RAD54L,5,2,3,1,3,1,0,1
RAD54L2,146,82,119,79,221,100,536,167
RAD9A,2013,1879,1290,620,171,255,483,283
RAD9B,3,4,3,1,6,7,12,3
RADIL,0,2,2,0,5,4,14,1
RADX,5,3,13,0,21,5,49,8
RAE1,86,87,62,38,168,222,308,172
RAET1E,0,0,0,0,0,0,0,0
RAET1E-AS1,0,0,0,0,0,0,0,0
RAET1E-LRP11,0,0,0,0,0,0,0,0
RAET1G,0,0,0,0,0,0,0,0
RAET1K,0,10,1,1,0,0,0,3
RAET1L,0,0,0,0,0,0,0,0
RAF1,2299,2359,1401,1492,4195,7035,8624,6906
RAG1,2,5,1,0,16,19,45,15
RAG2,0,0,0,0,0,0,0,0
RAI1,227,143,173,138,320,98,594,175
RAI14,16,3,3,4,2,3,12,1
RAI14-DT,0,0,0,0,0,0,0,0
RAI1-AS1,1,0,0,0,0,0,0,0
RAI2,2,3,1,0,3,14,7,0
RALA,223,250,137,163,177,161,420,126
RALB,6918,6391,3359,3550,8670,7051,10008,8223
RALBP1,522,640,339,301,735,1353,2338,1539
RALGAPA1,1091,674,550,544,1182,641,2212,673
RALGAPA1P1,172,142,101,84,159,114,336,117
RALGAPA2,719,980,333,552,1680,3219,2062,2174
RALGAPB,957,705,499,501,2156,1770,2973,1736
RALGDS,18331,10531,10050,9854,31580,22353,27091,17684
RALGPS1,12,7,16,16,42,67,146,67
RALGPS2,117,104,51,39,149,84,216,103
RALGPS2-AS1,1,0,0,0,0,0,2,0
RALY,1944,2365,1200,1001,1827,1939,2624,1497
RALY-AS1,18,18,18,8,12,13,17,7
RALYL,1,0,0,0,0,0,0,0
RAMAC,35,49,28,28,66,120,165,99
RAMACL,9,6,5,2,3,14,13,8
RAMP1,3,0,8,0,1,2,37,2
RAMP2,0,0,0,0,0,0,0,0
RAMP2-AS1,0,0,0,0,0,0,0,0
RAMP3,0,1,4,1,1,5,10,1
RAN,367,392,303,228,363,211,595,205
RANBP1,283,311,159,152,50,27,160,36
RANBP10,142,80,94,65,242,154,469,194
RANBP17,0,0,0,1,0,0,5,1
RANBP2,10798,7476,5743,4804,32771,22463,38815,19707
RANBP3,456,608,352,292,438,490,995,531
RANBP3-DT,2,2,3,1,6,2,3,1
RANBP3L,1,0,0,0,0,0,1,1
RANBP6,115,180,93,61,191,133,380,106
RANBP9,1355,1105,512,666,691,615,820,553
RANGAP1,218,183,225,105,296,123,712,115
RANGRF,0,0,0,0,0,0,2,1
RAP1A,1179,1202,622,525,4604,5515,6276,4309
RAP1B,1985,1605,877,915,8112,4655,5851,4461
RAP1GAP,4,12,3,5,8,24,6,13
RAP1GAP2,194,327,195,140,459,1000,1067,568
RAP1GDS1,28,24,27,18,49,40,150,22
RAP2A,33,39,34,22,47,34,118,43
RAP2B,362,394,167,198,643,1100,946,520
RAP2C,2793,1738,906,928,13767,5918,6643,5083
RAP2C-AS1,37,18,8,13,245,84,152,93
RAPGEF1,16758,13844,9774,4179,25548,19699,33877,10377
RAPGEF2,1294,846,543,835,4567,2480,4713,4738
RAPGEF3,3,7,6,3,26,92,66,54
RAPGEF4,1,0,0,0,0,0,0,1
RAPGEF4-AS1,0,0,0,0,0,0,0,0
RAPGEF5,1,1,0,2,0,0,3,1
RAPGEF6,672,349,446,291,1300,681,1775,593
RAPGEFL1,129,122,123,45,313,359,731,200
RAPH1,7,2,8,5,31,10,33,6
RAPSN,1,1,6,3,48,52,101,36
RARA,1844,1643,1143,919,5298,7085,7836,4580
RARA-AS1,84,106,40,56,204,301,296,220
RARB,0,0,0,0,1,1,5,5
RARB-AS1,0,0,0,0,0,0,0,0
RARG,9,13,30,1,71,56,189,31
RARRES1,3,0,0,0,26,9,16,8
RARRES2,3,0,0,0,4,2,4,0
RARS1,82,67,64,35,182,199,425,171
RARS2,189,183,99,78,202,326,439,203
RASA1,129,66,62,42,333,230,385,206
RASA2,833,1136,613,727,331,339,760,238
RASA2-IT1,1,0,0,0,0,0,0,0
RASA3,1,2,1,0,6,14,14,3
RASA3_1,13,14,7,4,17,49,75,22
RASA3-IT1,0,0,0,0,0,0,0,0
RASA3-IT1_1,0,0,0,0,0,0,0,0
RASA4,1,0,2,0,0,5,5,2
RASA4B,2,4,0,0,3,11,11,4
RASA4CP,12,3,5,3,15,43,46,24
RASA4DP,0,2,1,0,2,11,7,6
RASAL1,8,4,2,4,1,6,36,3
RASAL2,11,1,4,2,13,3,39,14
RASAL2-AS1,1,1,1,0,0,0,1,1
RASAL3,1001,747,686,438,2564,2497,4241,2237
RASD1,35,71,37,58,4,1,3,2
RASD2,0,0,1,0,0,0,0,0
RASEF,1,2,0,0,1,2,0,1
RASGEF1A,16,17,20,9,21,136,98,40
RASGEF1B,452,178,125,149,2246,741,841,781
RASGEF1C,0,0,0,0,0,0,0,0
RASGRF1,0,1,1,0,1,2,20,2
RASGRF2,14,5,23,1,28,10,114,9
RASGRF2-AS1,0,1,1,0,0,0,0,0
RASGRP1,140,73,144,60,380,166,778,199
RASGRP2,370,442,454,214,1410,2116,3166,1357
RASGRP3,256,214,192,184,95,75,165,50
RASGRP3-AS1,15,29,13,15,7,10,5,2
RASGRP4,1924,1934,899,878,9153,8728,9488,5970
RASIP1,1,1,0,0,0,2,1,0
RASL10A,2,2,1,2,6,8,10,4
RASL10B,0,0,1,0,4,3,4,0
RASL11A,97,239,133,87,12,7,7,4
RASL11B,0,0,0,0,0,0,0,0
RASL12,0,0,0,0,0,0,1,0
RASSF1,114,180,119,95,243,498,755,363
RASSF10,3,2,1,1,0,0,2,0
RASSF10-DT,0,0,0,0,0,0,0,0
RASSF1-AS1,10,5,9,4,25,22,63,33
RASSF2,16185,16151,8660,9725,40298,60184,72318,52632
RASSF3,4729,3852,2155,2293,12117,14178,14696,11288
RASSF3-DT,1,2,0,1,2,4,4,1
RASSF4,189,412,102,73,229,282,256,135
RASSF5,12272,11225,6781,5626,43502,42241,47420,31914
RASSF6,2,1,1,2,5,2,16,2
RASSF7,1,0,0,0,2,2,5,0
RASSF7_1,0,0,0,0,0,0,1,0
RASSF8,1,1,4,0,3,0,10,0
RASSF8-AS1,1,0,0,0,0,0,0,0
RASSF9,0,0,0,1,0,1,1,0
RAVER1,548,516,411,301,1200,1540,1768,1284
RAVER2,19,17,8,6,22,30,29,12
RAX,0,0,0,1,0,0,0,0
RAX2,0,0,0,0,0,0,0,0
RB1,619,519,305,280,1248,528,1017,506
RB1CC1,2084,1406,1198,963,3399,3073,4704,2910
RB1-DT,0,1,0,0,1,2,3,0
RBAK,48,24,33,21,117,88,254,98
RBAKDN,0,0,0,0,0,0,1,0
RBAK-RBAKDN,0,0,0,0,0,0,0,0
RBBP4,955,772,459,454,261,209,638,189
RBBP5,539,462,223,242,992,878,1188,737
RBBP6,556,419,342,232,1412,1116,1978,917
RBBP7,900,961,503,437,318,502,744,290
RBBP8,1356,967,741,717,544,143,389,258
RBBP8NL,0,0,0,0,0,0,0,0
RBBP9,222,197,254,159,90,38,162,48
RBCK1,826,899,546,464,3500,2965,3187,2482
RBFA,23,100,24,20,14,4,43,8
RBFADN,0,0,0,0,2,0,0,0
RBFOX1,1,1,0,1,0,0,1,0
RBFOX2,0,0,1,0,0,0,0,0
RBFOX2_1,0,0,0,0,0,0,0,0
RBFOX3,2,0,1,0,2,3,5,0
RBIS,25,15,15,14,64,31,105,36
RBKS,104,120,55,53,40,39,82,24
RBL1,714,601,362,371,36,10,111,22
RBL2,464,387,319,157,1302,1337,2782,1288
RBM10,1236,1271,893,663,1328,1182,1716,1112
RBM11,24,20,12,8,20,7,26,1
RBM12,494,409,281,227,586,508,812,455
RBM12B,125,70,67,49,234,128,356,186
RBM12B-AS1,0,0,0,0,0,0,0,0
