Geneid,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
TMEM53,0,1,2,0,2,1,1,1
TMEM54,3,26,8,8,17,97,69,26
TMEM59,3172,3528,2518,3337,2926,3475,4124,2688
TMEM59L,0,1,1,2,0,0,2,0
TMEM60,322,166,230,197,138,245,266,126
TMEM61,0,0,0,0,0,1,0,0
TMEM62,66,65,63,56,45,26,119,40
TMEM63A,1370,770,1449,854,900,1036,2057,835
TMEM63B,124,103,136,108,548,175,393,349
TMEM63C,4,47,3,3,3,24,5,2
TMEM64,38,18,46,30,65,12,109,27
TMEM65,878,507,533,474,178,199,261,127
TMEM67,6,5,11,7,10,4,29,5
TMEM68,46,34,68,64,116,76,119,66
TMEM69,142,112,119,96,91,114,231,84
TMEM70,225,220,186,213,64,193,195,101
TMEM71,6240,8373,4666,6810,1524,3729,3659,2027
TMEM72,0,0,0,0,0,6,2,1
TMEM72-AS1,1,0,0,0,2,5,3,0
TMEM74,0,0,0,0,0,0,0,0
