Geneid,RH_1,RH_2,RH_3,RH_4,LPS_1,LPS_2,LPS_3,LPS_4
ADAMTS9-AS2,0,0,0,0,0,0,0,0
ADAMTSL1,0,0,0,1,0,0,0,0
ADAMTSL2,0,1,2,0,5,1,21,0
ADAMTSL3,0,0,0,0,0,0,0,0
ADAMTSL3_1,0,0,0,0,0,0,0,0
ADAMTSL4,639,1109,760,467,2504,3949,5457,1821
ADAMTSL4-AS1,59,109,82,36,381,436,596,212
ADAMTSL4-AS2,93,179,106,57,453,841,924,368
ADAMTSL5,0,2,1,0,2,2,6,0
ADAP1,129,298,203,203,328,639,879,521
ADAP2,0,0,0,0,0,0,0,0
ADAP2_1,0,0,0,0,0,0,0,0
ADAR,4204,3462,4572,2525,42983,18352,45328,24908
ADARB1,359,678,606,491,632,288,1482,443
ADARB2,10,0,29,7,42,0,97,27
ADARB2-AS1,0,0,0,0,0,0,0,0
ADAT1,137,222,285,99,3343,1687,3575,2125
ADAT2,20,11,32,11,56,23,208,49
ADAT3,15,27,40,26,8,34,34,6
ADCK1,2,13,6,2,6,31,33,7
ADCK2,35,38,35,25,28,22,97,18
ADCK5,0,0,0,0,0,0,0,0
ADCK5_1,0,0,0,0,0,0,0,0
ADCY1,1,0,0,0,0,1,0,0
ADCY10,3,1,0,0,4,4,4,2
ADCY10P1,48,60,23,21,122,210,167,170
ADCY2,0,0,0,0,0,0,0,1
ADCY3,10,10,28,5,59,74,185,44
ADCY4,0,1,2,0,0,2,0,0
ADCY4_1,0,0,0,0,0,0,0,0
ADCY5,0,0,1,1,5,4,3,4
ADCY6,0,1,1,0,1,2,1,1
ADCY6-DT,0,0,0,0,0,0,0,0
ADCY7,564,531,561,309,1112,1970,3390,1452
ADCY8,0,0,0,0,0,0,0,0
ADCY9,22,5,46,22,99,20,160,37
ADCYAP1,0,0,1,0,0,0,0,0
ADCYAP1R1,0,0,0,0,0,0,0,0
ADD1,794,983,722,543,2117,3049,3488,1953
ADD2,3,2,18,4,19,3,34,3
ADD3,604,432,310,224,937,752,1470,706
ADD3-AS1,0,0,0,0,0,2,1,1
ADGB,0,0,0,0,1,0,1,1
ADGB-DT,0,0,0,0,0,0,1,0
ADGRA1,0,0,0,0,0,0,2,0
ADGRA1-AS1,0,0,0,0,0,0,0,0
ADGRA2,0,1,0,1,5,2,2,1
ADGRA3,3,0,6,1,0,1,17,0
ADGRB1,6,6,20,4,119,48,103,107
ADGRB2,0,0,1,0,1,1,2,2
ADGRB3,0,0,0,0,0,0,0,0
ADGRB3-DT,1,0,0,1,0,0,0,0
ADGRD1,0,0,0,0,0,0,0,0
ADGRD1-AS1,0,0,0,0,0,0,0,0
ADGRD2,0,0,0,0,0,0,0,0
ADGRE1,187,233,349,106,9348,4296,4004,2996
ADGRE2,4345,4880,1418,2710,20085,17070,10740,18138
ADGRE3,1865,2504,1761,1426,6049,6456,10689,6035
ADGRE4P,814,454,612,409,2549,956,2848,1635
ADGRE5,1272,2743,2307,1607,12672,29058,22158,17248
ADGRF1,0,0,0,0,0,0,0,0
ADGRF2,0,0,0,0,0,0,0,0
ADGRF3,0,0,3,4,6,2,9,2
ADGRF4,0,0,0,0,0,0,0,0
ADGRF5,0,0,0,0,0,0,0,0
ADGRF5-AS1,0,0,0,0,0,0,0,0
ADGRG1,77,114,170,64,104,100,684,176
ADGRG2,5,5,8,3,16,8,9,7
ADGRG3,11386,15395,10097,7963,24502,19984,29175,17398
ADGRG4,1,0,1,2,0,0,0,0
ADGRG5,46,15,55,20,303,109,442,213
ADGRG6,1,0,2,0,0,0,3,0
ADGRG7,1,0,0,0,0,0,0,0
ADGRL1,0,0,0,0,0,0,0,0
ADGRL1_1,0,0,0,0,0,0,0,0
ADGRL1-AS1,0,0,0,0,0,0,0,0
ADGRL1-AS1_1,0,0,0,0,0,0,0,0
ADGRL2,0,0,1,0,0,0,0,0
ADGRL3,0,0,0,0,0,0,0,0
ADGRL3-AS1,0,0,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0,0,0
ADGRV1,0,1,0,1,11,13,19,11
ADH1A,0,0,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0,0,0
ADH4,0,0,0,0,0,0,0,1
ADH5,13,12,40,13,88,38,232,54
ADH6,0,0,0,0,0,0,0,0
ADH7,0,0,0,0,0,0,0,0
ADHFE1,4,4,7,1,28,10,67,11
ADI1,34,49,17,16,19,26,59,18
ADI1_1,0,0,0,0,0,0,0,0
ADIG,0,0,0,0,0,0,0,0
ADIPINT,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,2,0
ADIPOQ-AS1,0,0,1,0,0,0,0,0
ADIPOR1,3289,4681,2280,2203,3425,4486,4557,3593
ADIPOR2,0,0,0,3,0,2,0,0
ADIPOR2_1,0,0,0,0,0,0,0,0
ADIRF,0,0,0,0,0,0,0,0
ADIRF-AS1,1,1,1,0,3,2,9,0
ADISSP,1,4,11,1,9,19,31,5
ADK,44,26,52,11,102,74,267,63
ADM,635,821,611,606,16120,11398,9871,11785
ADM2,9,8,7,4,10,6,25,0
ADM5,0,0,1,1,3,2,4,4
ADNP,562,660,537,364,1341,1652,2772,1375
ADNP2,551,1016,765,676,1576,1372,1472,1251
ADNP-AS1,17,7,6,3,38,21,30,16
ADO,159,181,94,74,66,78,169,48
ADORA1,0,0,1,0,0,0,0,0
