Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4,Mock_1,Mock_2,Mock_3,Mock_4,LPS_1,LPS_2,LPS_3,LPS_4
OR8K3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8K3_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8K5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8S1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U3_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR8U9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9A2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9A2_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9A4,0,0,0,0,0,1,0,0,10,2,2,0,12,8,2,1
OR9G1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G1_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G4_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9G9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9H1P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9I1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9K2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR9Q1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
OR9Q2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ORAI1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ORAI1_1,4,2,1,2,2,3,5,0,4,6,8,3,3,9,5,1
ORAI2,2413,2165,1503,1083,2747,3498,2217,1628,12736,16093,12206,11370,5372,7698,11567,5943
ORAI3,365,427,201,140,248,354,202,169,1341,1692,1182,968,307,1390,1190,518
ORC1,834,743,409,401,615,679,548,419,29,28,22,20,21,13,36,17
ORC2,79,49,65,30,63,35,63,32,284,122,242,166,195,109,369,103
ORC3,91,53,40,46,28,31,39,16,95,52,121,64,117,110,219,108
ORC4,65,57,40,34,80,88,56,38,399,309,276,368,164,173,268,134
ORC5,7,6,11,3,10,5,4,5,25,9,39,13,22,14,69,21
ORC6,22,18,7,7,56,54,17,18,10,3,7,5,3,1,8,3
ORM1,503,585,398,519,7,38,68,16,20,108,77,68,2969,2375,2578,2667
ORM2,0,0,0,0,0,0,1,0,0,0,0,0,2,1,12,4
ORMDL1,163,106,124,61,165,162,158,76,679,400,660,445,385,222,774,264
ORMDL2,110,172,75,60,96,204,128,78,225,370,235,205,196,316,339,180
ORMDL3,83,74,88,44,73,87,124,46,233,245,352,193,170,118,451,118
OS9,2849,2898,1616,1311,2131,3082,2022,1317,7909,10866,7023,7131,9666,8952,10746,6781
OSBP,970,770,612,424,300,437,446,223,795,748,793,627,1937,1467,2279,1142
OSBP2,3,0,3,2,2,1,2,0,3,2,12,4,4,5,13,1
OSBPL10,3,1,1,1,0,1,1,0,2,4,3,4,1,4,10,6
OSBPL10-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSBPL11,632,546,335,256,502,476,376,303,2752,1742,1997,2231,1573,1855,2995,1922
OSBPL1A,24,16,7,7,35,64,21,20,57,72,26,43,10,40,20,17
OSBPL2,1260,1491,720,706,927,1323,838,707,3794,4974,3552,4043,2931,4697,4737,3081
OSBPL3,40,10,37,14,13,5,46,11,74,11,100,29,69,16,194,35
OSBPL5,7,8,23,5,10,9,29,3,30,23,111,35,25,15,149,21
OSBPL6,0,2,1,2,1,4,0,5,5,14,1,7,0,30,2,6
OSBPL7,52,7,67,30,21,17,63,26,117,55,236,115,110,35,363,113
OSBPL8,1687,1091,688,522,977,669,784,508,5113,2762,3308,3070,4310,4320,4837,3294
OSBPL9,541,451,329,264,425,462,344,226,1529,1646,1006,1001,1070,946,1283,786
OSCAR,8,13,13,10,4,17,12,9,33,69,55,40,50,82,118,57
OSCAR_1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OSCAR_4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
OSCAR_8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OSCAR_9,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0
OSCP1,3,3,1,3,3,2,4,1,9,9,8,7,7,3,7,5
OSER1,5024,4880,2710,2601,2850,3474,2725,2169,4455,4482,3900,4054,4833,5830,6874,4555
