Geneid,RHLPS_1,RHLPS_2,RHLPS_3,RHLPS_4,RH_1,RH_2,RH_3,RH_4
ADGRL2,1,0,0,0,0,0,1,0
ADGRL3,0,0,1,0,0,0,0,0
ADGRL3-AS1,0,0,0,0,0,0,0,0
ADGRL4,0,0,0,0,0,0,0,0
ADGRV1,1,0,0,1,0,1,0,1
ADH1A,0,0,0,0,0,0,0,0
ADH1B,0,0,0,0,0,0,0,0
ADH1C,0,0,0,0,0,0,0,0
ADH4,0,0,0,0,0,0,0,0
ADH5,35,16,42,9,13,12,40,13
ADH6,0,0,0,0,0,0,0,0
ADH7,0,0,0,0,0,0,0,0
ADHFE1,11,8,13,2,4,4,7,1
ADI1,36,28,12,10,34,49,17,16
ADI1_1,0,0,0,0,0,0,0,0
ADIG,0,0,0,0,0,0,0,0
ADIPINT,0,0,0,0,0,0,0,0
ADIPOQ,0,0,0,0,0,0,0,0
ADIPOQ-AS1,0,0,0,0,0,0,1,0
ADIPOR1,3051,2898,1490,1718,3289,4681,2280,2203
ADIPOR2,2,0,1,0,0,0,0,3
ADIPOR2_1,0,0,0,0,0,0,0,0
ADIRF,0,0,0,0,0,0,0,0
ADIRF-AS1,3,0,3,0,1,1,1,0
ADISSP,12,6,8,0,1,4,11,1
ADK,49,28,60,21,44,26,52,11
ADM,2510,2429,929,1631,635,821,611,606
ADM2,5,3,3,1,9,8,7,4
ADM5,0,1,1,0,0,0,1,1
ADNP,709,702,483,387,562,660,537,364
ADNP2,1566,1706,964,976,551,1016,765,676
ADNP-AS1,23,12,8,6,17,7,6,3
ADO,92,141,58,51,159,181,94,74
ADORA1,0,0,1,0,0,0,1,0
ADORA2A,170,155,98,96,13,6,58,10
ADORA2A-AS1,427,251,187,180,18,13,79,19
ADORA2B,18,19,10,8,8,16,9,2
ADORA3,54,45,32,41,26,32,32,19
ADPGK,5499,4491,2636,2345,3618,4536,3101,2511
ADPGK-AS1,88,58,64,39,42,52,63,38
ADPRH,65,45,37,57,12,10,26,10
ADPRHL1,9,22,12,13,9,10,12,7
ADPRM,29,27,24,18,17,25,19,9
ADPRS,131,243,130,96,137,260,142,92
ADRA1A,0,0,0,0,0,0,0,0
ADRA1B,1,0,2,1,0,0,2,0
ADRA1D,1,0,0,0,0,0,0,0
ADRA2A,3,0,1,0,0,0,1,0
ADRA2B,26,49,37,18,5,11,17,4
ADRA2C,1,0,0,0,0,0,0,1
ADRB1,2,6,0,2,3,2,2,3
ADRB2,9,10,15,6,9,6,23,5
ADRB3,0,0,0,0,0,0,0,0
ADRM1,1010,1095,606,592,594,798,653,427
ADSL,56,67,54,34,42,50,61,24
ADSS1,4,1,2,1,1,2,0,0
ADSS2,209,197,130,134,238,515,203,256
ADTRP,19,11,17,2,9,1,10,0
AEBP1,20,9,23,11,13,8,18,5
AEBP2,175,172,91,83,87,111,110,62
AEN,60,81,67,53,16,35,60,18
AFAP1,7,4,22,14,4,2,26,8
AFAP1-AS1,0,0,0,0,0,0,0,0
AFAP1L1,4,1,1,0,0,0,0,0
AFAP1L2,1,2,3,2,1,3,2,1
AFDN,62,85,127,183,40,162,257,227
AFDN-DT,0,0,1,0,0,0,0,2
AFF1,668,720,386,365,1120,1096,693,666
AFF1-AS1,2,2,0,0,4,5,2,0
AFF2,15,9,2,1,9,10,6,5
AFF3,16,2,28,18,6,2,19,10
AFF4,2569,1417,1262,1013,1012,808,1168,729
AFF4-DT,0,0,0,0,0,0,0,0
AFG1L,4,1,2,2,0,0,1,1
AFG2A,3,1,10,2,3,1,10,2
AFG2B,289,184,149,90,163,126,151,74
AFG3L1P,159,183,108,106,153,193,154,111
AFG3L2,61,60,51,43,56,55,60,39
AFM,0,0,0,0,0,0,0,0
AFMID,2,2,3,1,1,3,6,6
AFP,0,0,0,0,0,0,0,0
AFTPH,2786,2069,1083,1320,963,872,925,633
AFTPH-DT,13,17,2,6,9,2,5,0
AGA,24,12,19,7,20,15,24,8
AGA-DT,1,0,3,0,0,0,2,2
AGAP1,2,0,2,2,1,1,5,1
AGAP10P,2,0,0,0,0,2,2,0
AGAP11,1,0,0,0,0,0,0,0
AGAP12P,0,0,0,0,0,0,0,0
AGAP12P_1,0,0,0,0,0,0,0,0
AGAP13P,0,0,0,0,0,0,0,0
AGAP14P,4,1,1,0,1,3,3,1
AGAP1-IT1,0,0,0,0,0,0,0,0
AGAP2,182,174,135,79,345,464,218,217
AGAP2-AS1,5,0,1,1,4,5,2,3
AGAP3,2810,3042,2073,1976,200,143,1080,340
AGAP4,0,1,0,0,1,0,2,0
AGAP5,0,1,4,0,0,0,1,0
AGAP6,0,1,1,0,0,0,1,0
AGAP7P,6,6,12,2,19,6,18,6
AGAP9,0,0,0,0,0,0,0,0
AGBL1,0,0,0,0,0,0,0,1
AGBL1-AS1,0,0,0,0,0,0,0,0
AGBL2,0,0,0,0,0,0,0,0
AGBL2_1,0,0,0,0,0,0,0,0
AGBL3,8,8,4,2,5,3,8,3
AGBL4,0,0,0,1,0,0,0,0
AGBL4-AS1,0,0,0,0,0,0,0,0
AGBL4-IT1,0,0,0,0,0,0,0,0
AGBL5,17,14,18,14,13,12,24,5
AGBL5-AS1,0,0,0,0,0,0,0,0
AGER,0,0,0,0,0,0,0,0
AGER_1,0,0,0,0,0,0,0,0
AGER_2,0,1,0,0,0,2,0,0
AGER_3,1,0,0,0,0,0,0,0
AGER_4,0,0,0,0,0,0,0,0
AGER_5,0,0,1,0,0,0,0,0
AGER_6,0,0,0,0,1,0,0,0
AGFG1,506,522,256,259,313,423,300,251
AGFG2,21,15,29,6,17,12,26,2
AGGF1,109,85,79,54,126,133,72,75
AGK,8,5,8,2,2,3,9,2
AGK_1,0,0,0,0,0,0,0,0
AGK-DT,0,0,0,0,0,0,0,0
AGL,49,46,47,28,43,21,39,18
AGMAT,4,1,8,0,2,3,2,1
AGMO,0,3,0,1,0,2,0,0
AGO1,531,604,307,221,871,859,577,439
AGO2,4808,4655,2756,2756,3137,3233,2995,2087
